Customer ID,Name,Surname,,,,,Date Joined,Balance
100000001,Simon,Walsh,,,,,05.Jan.15,113810.15
400000002,Jasmine,Miller,,,,,06.Jan.15,36919.73
100000003,Liam,Brown,,,,,07.Jan.15,101536.83
300000004,Trevor,Parr,,,,,08.Jan.15,1421.52
100000005,Deirdre,Pullman,,,,,09.Jan.15,35639.79
300000006,Ava,Coleman,,,,,09.Jan.15,122443.77
100000007,Dorothy,Thomson,,,,,11.Jan.15,42879.84
200000008,Lisa,Knox,,,,,11.Jan.15,36680.17
300000009,Ruth,Campbell,,,,,11.Jan.15,74284.35
100000010,Dominic,Parr,,,,,12.Jan.15,10912.45
100000011,Dominic,Lewis,,,,,12.Jan.15,39667.83
100000012,Benjamin,Grant,,,,,12.Jan.15,32281.62
100000013,Ryan,MacDonald,,,,,12.Jan.15,40781.63
200000014,Thomas,Lawrence,,,,,12.Jan.15,48791.46
300000015,Madeleine,Marshall,,,,,12.Jan.15,2846.03
100000016,Nicholas,Newman,,,,,14.Jan.15,2116.85
200000017,Grace,Hill,,,,,14.Jan.15,10356.31
200000018,Samantha,Coleman,,,,,14.Jan.15,3801.69
100000019,William,Ince,,,,,15.Jan.15,65534.69
100000020,Audrey,Jones,,,,,15.Jan.15,11462.64
300000021,Boris,Johnston,,,,,16.Jan.15,31778.9
200000022,Jason,Butler,,,,,18.Jan.15,21252.97
300000023,Deirdre,McDonald,,,,,18.Jan.15,66785.78
200000024,Carl,Quinn,,,,,19.Jan.15,6580.81
100000025,Jennifer,Hughes,,,,,20.Jan.15,20505.32
200000026,Richard,Fraser,,,,,21.Jan.15,43249.26
400000027,Rachel,McGrath,,,,,23.Jan.15,3967.2
100000028,Alison,Fisher,,,,,25.Jan.15,3428.56
200000029,Lucas,Mackenzie,,,,,25.Jan.15,20516.1
100000030,Luke,Wilkins,,,,,27.Jan.15,10813.83
100000031,Megan,Bell,,,,,28.Jan.15,38889.76
300000032,Warren,Edmunds,,,,,28.Jan.15,14094.01
200000033,Grace,Chapman,,,,,29.Jan.15,25865.2
100000034,Jake,Wilson,,,,,30.Jan.15,5833.62
100000035,Karen,Dyer,,,,,31.Jan.15,77809.59
100000036,Yvonne,Thomson,,,,,31.Jan.15,31680.67
100000037,Sophie,Gill,,,,,31.Jan.15,20504.37
100000038,Robert,Cornish,,,,,31.Jan.15,5688.36
200000039,Luke,Martin,,,,,31.Jan.15,12848.59
200000040,Gavin,Pullman,,,,,31.Jan.15,114456.23
100000041,Edward,Terry,,,,,01.Feb.15,51412.6
100000042,Diane,Black,,,,,01.Feb.15,9695.7
200000043,Jake,Morgan,,,,,01.Feb.15,114021.21
400000044,Yvonne,Churchill,,,,,01.Feb.15,107728.07
100000045,Dorothy,Johnston,,,,,03.Feb.15,2893.19
200000046,Lisa,Berry,,,,,03.Feb.15,54589.61
200000047,Leah,Nolan,,,,,03.Feb.15,59501.63
400000048,Carolyn,Lewis,,,,,08.Feb.15,14337.82
100000049,Simon,Ball,,,,,12.Feb.15,23921.89
100000050,Charles,Nolan,,,,,12.Feb.15,39034.14
100000051,Sophie,Wilkins,,,,,12.Feb.15,1401.43
100000052,Kimberly,James,,,,,12.Feb.15,41626.25
100000053,Madeleine,Ellison,,,,,12.Feb.15,47551.7
100000054,Irene,MacLeod,,,,,12.Feb.15,24187.98
100000055,Cameron,Taylor,,,,,12.Feb.15,4912.21
100000056,Liam,Gibson,,,,,12.Feb.15,58391.45
100000057,Donna,Knox,,,,,12.Feb.15,58033.89
100000058,Piers,Morgan,,,,,12.Feb.15,35831.2
100000059,Phil,Randall,,,,,12.Feb.15,1879.85
100000060,Ryan,White,,,,,12.Feb.15,23375.57
100000061,Kylie,Howard,,,,,12.Feb.15,4586.23
100000062,Fiona,Bell,,,,,12.Feb.15,20336.8
100000063,Kevin,Gibson,,,,,12.Feb.15,22414.93
100000064,Bernadette,Gibson,,,,,12.Feb.15,40305.24
200000065,Maria,Hughes,,,,,12.Feb.15,18091.36
200000066,Piers,Burgess,,,,,12.Feb.15,20076.8
200000067,Dan,Ellison,,,,,12.Feb.15,5300.47
200000068,Lucas,Piper,,,,,12.Feb.15,7162.43
200000069,Jason,Sharp,,,,,12.Feb.15,35751.37
200000070,Kevin,Parr,,,,,12.Feb.15,15013.76
200000071,Dan,Mills,,,,,12.Feb.15,70041.44
200000072,Angela,Roberts,,,,,12.Feb.15,35937.38
300000073,Hannah,White,,,,,12.Feb.15,41442.1
300000074,Oliver,Simpson,,,,,12.Feb.15,36696.92
400000075,Olivia,Dowd,,,,,12.Feb.15,21.03
200000076,Michael,Hemmings,,,,,24.Feb.15,58237.65
100000077,Frank,Brown,,,,,09.Mar.15,28509.46
100000078,Diane,Simpson,,,,,10.Mar.15,38715.45
300000079,Ruth,Mathis,,,,,15.Mar.15,7370.52
100000080,David,Peters,,,,,16.Mar.15,245.46
100000081,Joan,Buckland,,,,,16.Mar.15,59935.75
100000082,Neil,Robertson,,,,,16.Mar.15,11624.36
100000083,Paul,Mackay,,,,,16.Mar.15,9346.66
100000084,Dylan,Fraser,,,,,16.Mar.15,43770.37
100000085,Pippa,Buckland,,,,,16.Mar.15,63642.19
100000086,Matt,McGrath,,,,,16.Mar.15,22831.08
100000087,Jack,White,,,,,16.Mar.15,4846.57
100000088,Jasmine,Piper,,,,,16.Mar.15,71571.52
100000089,Michelle,Ellison,,,,,16.Mar.15,42409.89
100000090,Wanda,Henderson,,,,,16.Mar.15,4194.57
100000091,Blake,Reid,,,,,16.Mar.15,75613.68
100000092,Jane,Forsyth,,,,,16.Mar.15,28587.08
100000093,Dan,Peake,,,,,16.Mar.15,14699.05
100000094,Lisa,Davies,,,,,16.Mar.15,44034.26
100000095,Rebecca,Knox,,,,,16.Mar.15,55046.35
100000096,Joshua,Slater,,,,,16.Mar.15,67479.01
100000097,Heather,Wallace,,,,,16.Mar.15,61890.85
100000098,Maria,Johnston,,,,,16.Mar.15,1430.6
200000099,Robert,May,,,,,16.Mar.15,5456.86
200000100,Carolyn,Robertson,,,,,16.Mar.15,13251.27
200000101,Stewart,Lewis,,,,,16.Mar.15,119014.87
200000102,Emma,Piper,,,,,16.Mar.15,18829.79
200000103,Nicola,Powell,,,,,16.Mar.15,35939.04
200000104,Diana,McDonald,,,,,16.Mar.15,22686
200000105,Stephen,Ross,,,,,16.Mar.15,85108.08
200000106,Ella,Bond,,,,,16.Mar.15,44973.03
200000107,Ian,Wilson,,,,,16.Mar.15,12616.44
200000108,Piers,Quinn,,,,,16.Mar.15,23910.87
200000109,Joe,Forsyth,,,,,16.Mar.15,73461.71
200000110,Tim,Jones,,,,,16.Mar.15,26474.23
300000111,Sonia,Robertson,,,,,16.Mar.15,70799.64
300000112,Nathan,Paterson,,,,,16.Mar.15,20627.65
400000113,Tim,Hardacre,,,,,16.Mar.15,82229.52
400000114,Fiona,Mills,,,,,16.Mar.15,51171.29
400000115,Ruth,Oliver,,,,,16.Mar.15,37889.38
100000116,Alison,Johnston,,,,,19.Mar.15,21806.3
100000117,Amy,McGrath,,,,,25.Mar.15,12415.5
200000118,Adam,McGrath,,,,,28.Mar.15,67682.92
100000119,Vanessa,Lyman,,,,,31.Mar.15,33524.41
100000120,Andrea,Dickens,,,,,31.Mar.15,136370.38
100000121,Ian,Slater,,,,,31.Mar.15,39159.35
100000122,Jacob,Payne,,,,,31.Mar.15,3738.1
100000123,Harry,Short,,,,,31.Mar.15,43234.21
100000124,John,Black,,,,,01.Apr.15,111149.47
100000125,Jonathan,MacDonald,,,,,01.Apr.15,12312.49
100000126,Benjamin,Blake,,,,,01.Apr.15,55661.5
100000127,Emma,Fraser,,,,,01.Apr.15,10481.48
100000128,Virginia,Berry,,,,,01.Apr.15,4347.79
100000129,Peter,Pullman,,,,,01.Apr.15,15093.04
100000130,Alison,MacLeod,,,,,01.Apr.15,27738.77
100000131,Anna,Wright,,,,,01.Apr.15,27557.08
100000132,James,Marshall,,,,,01.Apr.15,9578.65
100000133,Ruth,Bower,,,,,02.Apr.15,40456.97
100000134,Owen,Powell,,,,,02.Apr.15,44744.24
100000135,Piers,King,,,,,02.Apr.15,56652.56
100000136,Christopher,Mackenzie,,,,,02.Apr.15,12994.18
100000137,Sarah,Wallace,,,,,02.Apr.15,42207.46
100000138,Richard,Hemmings,,,,,02.Apr.15,10704.25
100000139,Nicola,Rampling,,,,,02.Apr.15,57140.07
200000140,Keith,Harris,,,,,02.Apr.15,40510.36
100000141,Angela,Wright,,,,,03.Apr.15,36584.21
100000142,Sam,Russell,,,,,03.Apr.15,10249.56
100000143,Luke,Ball,,,,,03.Apr.15,40379.31
100000144,Sean,Bell,,,,,03.Apr.15,4539.24
100000145,Steven,Ball,,,,,04.Apr.15,89120.92
100000146,Andrew,Gray,,,,,05.Apr.15,51707.8
100000147,Jacob,Metcalfe,,,,,05.Apr.15,4940.82
100000148,Madeleine,Ogden,,,,,05.Apr.15,48405.93
100000149,Dylan,Davies,,,,,05.Apr.15,32467.1
100000150,Michelle,Lee,,,,,05.Apr.15,4020.51
100000151,Connor,Grant,,,,,05.Apr.15,5160.27
100000152,Justin,Metcalfe,,,,,05.Apr.15,51576.88
100000153,Elizabeth,Oliver,,,,,05.Apr.15,57019.91
100000154,Kevin,Powell,,,,,05.Apr.15,57365.32
100000155,Tim,Arnold,,,,,05.Apr.15,1455.6
100000156,Charles,Roberts,,,,,05.Apr.15,36256.2
100000157,Anthony,Cornish,,,,,05.Apr.15,24927.39
100000158,Michael,Powell,,,,,05.Apr.15,1009.69
100000159,Lucas,Lawrence,,,,,05.Apr.15,21871.43
100000160,Alexander,Walker,,,,,05.Apr.15,7602.94
100000161,Diana,Powell,,,,,05.Apr.15,2337
100000162,Emma,Peters,,,,,05.Apr.15,61541.83
100000163,Amanda,Morgan,,,,,05.Apr.15,4120.66
200000164,Claire,Walsh,,,,,05.Apr.15,67524.87
200000165,Paul,Harris,,,,,05.Apr.15,4371.98
200000166,William,Mitchell,,,,,05.Apr.15,10229.63
300000167,Cameron,Ross,,,,,05.Apr.15,19064.65
300000168,Pippa,Wilson,,,,,05.Apr.15,30846.82
100000169,Blake,Mills,,,,,06.Apr.15,71396.66
100000170,Natalie,Morrison,,,,,06.Apr.15,3290.79
100000171,John,Hughes,,,,,06.Apr.15,13181.22
100000172,Nicholas,Greene,,,,,06.Apr.15,62923.29
100000173,Hannah,Thomson,,,,,06.Apr.15,93353.93
100000174,Penelope,Glover,,,,,06.Apr.15,46078.71
100000175,Max,Stewart,,,,,06.Apr.15,15986.62
100000176,Wendy,Gill,,,,,06.Apr.15,27384.85
100000177,Thomas,Bailey,,,,,06.Apr.15,70349.32
100000178,Dan,Piper,,,,,06.Apr.15,60748.04
